syn1	syn2
10502046-n	n:person
10503452-n	n:person
10507692-n	n:person
10509605-n	n:person
10512982-n	n:person
10513823-n	n:person
10516692-n	n:person
10518349-n	n:person
10521470-n	n:person
10522759-n	n:person
10524973-n	n:person
10525134-n	n:person
10526534-n	n:person
10529231-n	n:person
10530959-n	n:person
10532576-n	n:person
10538154-n	n:person
10540656-n	n:person
10541229-n	n:person
10543795-n	n:person
10560637-n	n:person
10563711-n	n:person
10569179-n	n:person
10575594-n	n:person
10575787-n	n:person
10576223-n	n:person
10579676-n	n:person
10584853-n	n:person
10585077-n	n:person
10585976-n	n:person
10594043-n	n:person
10597234-n	n:person
10599354-n	n:person
10603959-n	n:person
10604180-n	n:person
10605088-n	n:person
10609325-n	n:person
10609686-n	n:person
10611541-n	n:person
10612803-n	n:person
10613505-n	n:person
10614225-n	n:person
10614363-n	n:person
10616578-n	n:person
10616670-n	n:person
10616779-n	n:person
10617904-n	n:person
10618007-n	n:person
10619492-n	n:person
10626722-n	n:person
10627349-n	n:person
10635788-n	n:person
10636874-n	n:person
10639047-n	n:person
10640968-n	n:person
10641551-n	n:person
10643727-n	n:person
10648033-n	n:person
10656223-n	n:person
10656488-n	n:person
10659762-n	n:person
10661216-n	n:person
10665302-n	n:person
10668666-n	n:person
10676682-n	n:person
10679998-n	n:person
10680910-n	n:person
10681060-n	n:person
10681383-n	n:person
10688811-n	n:person
10688975-n	n:person
10691600-n	n:person
10699752-n	n:person
10702167-n	n:person
10702615-n	n:person
10703336-n	n:person
10708797-n	n:person
10709256-n	n:person
10709529-n	n:person
10710632-n	n:person
10717461-n	n:person
10717589-n	n:person
10724372-n	n:person
10725734-n	n:person
10725893-n	n:person
10726031-n	n:person
10728998-n	n:person
10733350-n	n:person
10735564-n	n:person
10735852-n	n:person
10737431-n	n:person
10741590-n	n:person
10743675-n	n:person
10746346-n	n:person
10752480-n	n:person
10753061-n	n:person
10756641-n	n:person
10757625-n	n:person
10757918-n	n:person
10763725-n	n:person
10763878-n	n:person
10764296-n	n:person
10766025-n	n:person
10767020-n	n:person
10768585-n	n:person
10769782-n	n:person
10771636-n	n:person
10771990-n	n:person
10781236-n	n:person
10783539-n	n:person
10785695-n	n:person
10786517-n	n:person
10791890-n	n:person
10803193-n	n:person
11408559-n	n:phenomenon
11408733-n	n:phenomenon
11408914-n	n:phenomenon
11410625-n	n:phenomenon
11417561-n	n:phenomenon
11418138-n	n:phenomenon
11418460-n	n:phenomenon
11529295-n	n:phenomenon
11530008-n	n:plant
11530149-n	n:plant
11530512-n	n:plant
11530715-n	n:plant
11530860-n	n:plant
11530990-n	n:plant
11531090-n	n:plant
11531193-n	n:plant
11536087-n	n:plant
11536230-n	n:plant
11536369-n	n:plant
11536567-n	n:plant
11536673-n	n:plant
11552133-n	n:plant
11552806-n	n:plant
11552976-n	n:plant
11553240-n	n:plant
11553419-n	n:plant
11553522-n	n:plant
11553634-n	n:plant
11686503-n	n:plant
11686780-n	n:plant
11686912-n	n:plant
11687071-n	n:plant
11688378-n	n:plant
11688552-n	n:plant
11688750-n	n:plant
12992868-n	n:plant
13083023-n	n:plant
13083306-n	n:plant
13083586-n	n:plant
13084479-n	n:plant
13084633-n	n:plant
13086908-n	n:plant
13092385-n	n:plant
13092548-n	n:plant
13100156-n	n:plant
13122985-n	n:plant
13123681-n	n:plant
13124164-n	n:plant
13124358-n	n:plant
13124529-n	n:plant
13124654-n	n:plant
13179056-n	n:plant
13240514-n	n:possession
13244109-n	n:possession
13252853-n	n:possession
13252973-n	n:possession
13329489-n	n:possession
13329641-n	n:possession
13370448-n	n:possession
13396054-n	n:possession
13403331-n	n:possession
13413493-n	n:possession
13445972-n	n:process
13455906-n	n:process
13458571-n	n:process
13460299-n	n:process
13464820-n	n:process
13471206-n	n:process
13474495-n	n:process
13477462-n	n:process
13493998-n	n:process
13497135-n	n:process
13497928-n	n:process
13503226-n	n:process
13503908-n	n:process
13504173-n	n:process
13518963-n	n:process
13525549-n	n:process
13526110-n	n:process
13536794-n	n:process
13541167-n	n:process
13551617-n	n:process
13554343-n	n:process
13555446-n	n:process
13572324-n	n:process
13575869-n	n:quantity
13576101-n	n:quantity
13576355-n	n:quantity
13576982-n	n:quantity
13577171-n	n:quantity
13579829-n	n:quantity
13579933-n	n:quantity
13599547-n	n:quantity
13731530-n	n:quantity
13779032-n	n:quantity
13779244-n	n:quantity
13780180-n	n:quantity
13780449-n	n:relation
13780606-n	n:relation
13780719-n	n:relation
13781164-n	n:relation
13782769-n	n:relation
13783038-n	n:relation
13783581-n	n:relation
13790712-n	n:relation
13791389-n	n:relation
13794226-n	n:relation
13797142-n	n:relation
13809207-n	n:relation
13811410-n	n:relation
13812607-n	n:relation
13815152-n	n:relation
13827205-n	n:relation
13836841-n	n:relation
13837439-n	n:relation
13840719-n	n:relation
13840958-n	n:relation
13841213-n	n:relation
13844212-n	n:relation
13844690-n	n:relation
13853808-n	n:relation
13854649-n	n:relation
13859043-n	n:relation
13860793-n	n:shape
13861050-n	n:shape
13862282-n	n:shape
13862644-n	n:shape
13862780-n	n:shape
13863771-n	n:shape
13864763-n	n:shape
13865483-n	n:shape
13867276-n	n:shape
13867492-n	n:shape
13870805-n	n:shape
13873917-n	n:shape
13878951-n	n:shape
13879634-n	n:shape
13900422-n	n:shape
13900760-n	n:shape
13910384-n	n:shape
13920012-n	n:state
13920169-n	n:state
13920322-n	n:state
13920429-n	n:state
13920835-n	n:state
13924069-n	n:state
13924196-n	n:state
13926451-n	n:state
13927383-n	n:state
13928388-n	n:state
13928668-n	n:state
13928943-n	n:state
13932045-n	n:state
13932213-n	n:state
13939353-n	n:state
13939734-n	n:state
13939892-n	n:state
13945102-n	n:state
13945919-n	n:state
13954253-n	n:state
13959818-n	n:state
13962498-n	n:state
13968092-n	n:state
13968308-n	n:state
13968547-n	n:state
13972797-n	n:state
13980288-n	n:state
13980845-n	n:state
13983147-n	n:state
13991823-n	n:state
14000403-n	n:state
14001348-n	n:state
14004317-n	n:state
14006179-n	n:state
14006821-n	n:state
14006945-n	n:state
14010148-n	n:state
14015731-n	n:state
14030820-n	n:state
14031108-n	n:state
14033917-n	n:state
14270016-n	n:state
14315071-n	n:state
14414294-n	n:state
14418395-n	n:state
14424780-n	n:state
14425974-n	n:state
14458181-n	n:state
14458593-n	n:state
14458943-n	n:state
14459185-n	n:state
14459422-n	n:state
14460565-n	n:state
14462666-n	n:state
14479320-n	n:state
14479488-n	n:state
14490110-n	n:state
14540564-n	n:state
14541044-n	n:state
14562960-n	n:state
14564056-n	n:state
14564165-n	n:state
14568762-n	n:state
14569337-n	n:state
14569508-n	n:state
14569683-n	n:state
14569844-n	n:state
14570091-n	n:state
14570330-n	n:state
14578792-n	n:state
14580476-n	n:state
14580597-n	n:substance
14580752-n	n:substance
14580897-n	n:substance
14582025-n	n:substance
14582220-n	n:substance
14582535-n	n:substance
14582716-n	n:substance
14582870-n	n:substance
14583228-n	n:substance
14583400-n	n:substance
14583573-n	n:substance
14584110-n	n:substance
14584260-n	n:substance
14584390-n	n:substance
14584502-n	n:substance
14584658-n	n:substance
14586258-n	n:substance
14590975-n	n:substance
14616939-n	n:substance
14619225-n	n:substance
14622893-n	n:substance
14624743-n	n:substance
14691822-n	n:substance
14710024-n	n:substance
14723079-n	n:substance
14724436-n	n:substance
14738752-n	n:substance
14738892-n	n:substance
14778436-n	n:substance
14786479-n	n:substance
14793812-n	n:substance
14834714-n	n:substance
14840755-n	n:substance
14873056-n	n:substance
14875077-n	n:substance
14890659-n	n:substance
14899152-n	n:substance
14899328-n	n:substance
14899530-n	n:substance
14904661-n	n:substance
14908683-n	n:substance
14919272-n	n:substance
14925198-n	n:substance
14934031-n	n:substance
14939445-n	n:substance
14939900-n	n:substance
14977504-n	n:substance
14981183-n	n:substance
15003797-n	n:substance
15004501-n	n:substance
15029646-n	n:substance
15032376-n	n:substance
15032661-n	n:substance
15037339-n	n:substance
15046900-n	n:substance
15047849-n	n:substance
15093735-n	n:substance
15109745-n	n:substance
15110096-n	n:substance
15110307-n	n:substance
15110796-n	n:substance
15110956-n	n:substance
15112086-n	n:substance
15116283-n	n:time
15116532-n	n:time
15116724-n	n:time
15116910-n	n:time
15117246-n	n:time
15119536-n	n:time
15120823-n	n:time
15121625-n	n:time
15122011-n	n:time
15123754-n	n:time
15130205-n	n:time
15133488-n	n:time
15154774-n	n:time
15180528-n	n:time
15243976-n	n:time
15256915-n	n:time
15269513-n	n:time
v:body	00001740-v
v:body	00010435-v
v:body	00014549-v
v:body	00015713-v
v:body	00016702-v
v:body	00017282-v
v:body	00017865-v
v:body	00018158-v
v:body	00020133-v
v:body	00020449-v
n:act	00037396-n
n:act	00041899-n
n:act	00042311-n
n:act	00042541-n
n:act	00042757-n
n:act	00043195-n
n:act	00043609-n
n:act	00044150-n
n:act	00044455-n
n:act	00044673-n
n:act	00044900-n
n:act	00045114-n
n:act	00045250-n
n:act	00045907-n
n:act	00046177-n
n:act	00046522-n
v:body	00052374-v
v:body	00057410-v
v:body	00059559-v
n:act	00066216-n
n:act	00070363-n
n:act	00070641-n
v:body	00077369-v
v:body	00077458-v
v:body	00078760-v
n:act	00083260-n
v:body	00099721-v
v:body	00104868-v
v:body	00107943-v
v:change	00109660-v
v:change	00118764-v
v:change	00123170-v
v:change	00126264-v
v:change	00173338-v
n:act	00203342-n
n:act	00205891-n
v:change	00224295-v
v:change	02422663-v
v:change	00233335-v
v:change	00258109-v
v:change	00306298-v
v:change	00339934-v
v:change	00345761-v
v:change	00348746-v
v:change	00360092-v
n:act	00392335-n
n:act	00407535-n
v:change	00413876-v
v:change	00415044-v
v:change	00415743-v
v:change	00422090-v
v:change	00425071-v
v:change	00426958-v
v:change	00528990-v
v:change	00549771-v
v:change	00550117-v
v:change	00554298-v
v:change	00560247-v
v:change	00571061-v
n:act	00585406-n
v:cognition	00588888-v
v:cognition	00591115-v
v:cognition	00591755-v
v:cognition	00592037-v
v:cognition	00594058-v
v:cognition	00594337-v
v:cognition	00594621-v
v:cognition	00595505-v
v:cognition	00595630-v
v:cognition	00595935-v
v:cognition	00596132-v
v:cognition	00597915-v
v:cognition	00598954-v
v:cognition	00599992-v
v:cognition	00601378-v
v:cognition	00601581-v
v:cognition	00607405-v
v:cognition	00607780-v
v:cognition	00608808-v
v:cognition	00609100-v
v:cognition	00609683-v
v:cognition	00610167-v
v:cognition	00610538-v
v:cognition	00611256-v
v:cognition	00611481-v
v:cognition	00613393-v
v:cognition	00613683-v
v:cognition	00614999-v
v:cognition	00616153-v
v:cognition	00616857-v
v:cognition	00617748-v
v:cognition	00628491-v
v:cognition	00636888-v
v:cognition	00639849-v
v:cognition	00643473-v
v:cognition	00644583-v
v:cognition	00652346-v
v:cognition	00665886-v
v:cognition	00679389-v
v:cognition	00685419-v
v:cognition	00697589-v
v:cognition	00699815-v
v:cognition	00708538-v
v:cognition	00720063-v
v:cognition	00732552-v
v:cognition	00736216-v
v:communication	00770437-v
v:communication	00779601-v
v:communication	00799383-v
v:communication	00801626-v
v:communication	00804802-v
v:communication	00805376-v
n:act	00809074-n
v:communication	00811375-v
v:communication	00818974-v
n:act	00830257-n
v:communication	00843468-v
v:communication	00859325-v
n:act	00874067-n
v:communication	00890590-v
v:communication	00892923-v
v:communication	00905059-v
v:communication	00907147-v
n:act	00912960-n
v:communication	00918872-v
v:communication	00920336-v
v:communication	00931852-v
v:communication	00935141-v
v:communication	00935987-v
v:communication	00937619-v
v:communication	00940384-v
v:communication	00950337-v
v:communication	00950431-v
v:communication	00973728-v
v:communication	00978549-v
v:communication	00983824-v
v:communication	00989201-v
v:communication	00989490-v
v:communication	01006810-v
v:communication	01009821-v
v:communication	01011725-v
v:communication	01020731-v
v:communication	01029368-v
v:communication	01030132-v
v:communication	01035530-v
v:communication	01041061-v
n:act	01053617-n
n:act	01053920-n
n:act	01062583-n
v:communication	01066433-v
v:communication	01068380-v
v:communication	01070777-v
v:competition	01072262-v
n:act	01073995-n
n:act	01076046-n
v:competition	01076615-v
v:competition	01079480-v
n:act	01080366-n
v:competition	01082606-v
n:act	01083077-n
v:competition	01083044-v
v:competition	01087197-v
v:competition	01087835-v
v:competition	01090335-v
v:competition	01093786-v
v:competition	01099592-v
v:competition	01100145-v
n:act	01102436-n
v:competition	01108148-v
v:competition	01111028-v
v:competition	01113620-v
v:competition	01113975-v
v:competition	01116447-v
v:competition	01118081-v
v:competition	01120069-v
v:competition	01133825-v
v:competition	01134238-v
v:competition	01135371-v
v:competition	01154175-v
v:competition	01155090-v
v:consumption	01156834-v
v:consumption	01158572-v
v:consumption	01158872-v
v:consumption	01188342-v
v:consumption	01189113-v
v:consumption	01190948-v
v:consumption	01192992-v
n:act	01195584-n
v:consumption	01196037-v
v:consumption	01197750-v
v:consumption	01200934-v
v:consumption	01201856-v
v:consumption	01205331-v
v:contact	01205696-v
v:contact	01206218-v
v:contact	01207149-v
v:contact	01209678-v
v:contact	01212230-v
v:contact	01213146-v
v:contact	01214265-v
v:contact	01216670-v
v:contact	01217043-v
v:contact	01228524-v
v:contact	01230710-v
v:contact	01237901-v
n:act	01252124-n
n:act	01266491-n
v:contact	01307896-v
n:animal	01313888-n
n:animal	01314026-n
n:animal	01314145-n
n:animal	01314388-n
n:animal	01314663-n
n:animal	01314781-n
n:animal	01314910-n
n:animal	01315062-n
n:animal	01315213-n
n:animal	01315330-n
n:animal	01315581-n
v:contact	01315613-v
n:animal	01315805-n
n:animal	01316288-n
n:animal	01316422-n
n:animal	01316949-n
n:animal	01317541-n
n:animal	01317916-n
n:animal	01318478-n
n:animal	01318660-n
n:animal	01318894-n
n:animal	01319001-n
n:animal	01319187-n
n:animal	01319467-n
n:animal	01319932-n
n:animal	01320093-n
n:animal	01320314-n
n:animal	01320479-n
n:animal	01320692-n
n:animal	01320872-n
n:animal	01321230-n
n:animal	01321456-n
n:animal	01321579-n
n:animal	01323599-n
n:animal	01323781-n
v:contact	01323958-v
n:animal	01324019-n
n:animal	01324142-n
n:animal	01324305-n
n:animal	01324610-n
n:animal	01324799-n
n:animal	01324916-n
n:animal	01325060-n
v:contact	01325536-v
v:contact	01325774-v
n:animal	01326291-n
n:animal	01326897-n
n:animal	01327028-n
n:animal	01327322-n
v:contact	01328012-v
n:animal	01328121-n
n:animal	01328302-n
v:contact	01332730-v
v:contact	01336635-v
v:contact	01339505-v
v:contact	01345109-v
v:contact	01346003-v
v:contact	01354673-v
v:contact	01375295-v
v:contact	01378556-v
v:contact	01380638-v
n:animal	01383638-n
n:animal	01383896-n
n:animal	01384164-n
n:animal	01384313-n
n:animal	01384687-n
n:animal	01385527-n
n:animal	01386182-n
n:animal	01386354-n
v:contact	01397210-v
n:animal	01415626-n
n:animal	01415920-n
n:animal	01416213-n
v:contact	01434140-v
v:contact	01458228-v
n:animal	01458842-n
n:animal	01459664-n
n:animal	01464844-n
n:animal	01466257-n
v:contact	01470225-v
v:contact	01474550-v
v:contact	01475953-v
v:contact	01481819-v
v:contact	01481957-v
v:contact	01482075-v
v:contact	01488847-v
v:contact	01525666-v
v:contact	01526483-v
v:contact	01531124-v
v:contact	01539063-v
v:contact	01542668-v
v:contact	01542842-v
v:contact	01543123-v
v:contact	01547001-v
v:contact	01562733-v
v:contact	01564144-v
v:contact	01570108-v
v:contact	01601234-v
v:contact	01610834-v
v:contact	01611746-v
v:contact	01615991-v
v:creation	01617192-v
v:creation	01619231-v
v:creation	01621555-v
v:creation	01644238-v
v:creation	01652895-v
v:creation	01699896-v
v:creation	01712704-v
v:creation	01716882-v
v:creation	01717169-v
v:creation	01718331-v
v:creation	01720660-v
v:creation	01721556-v
v:creation	01742726-v
v:creation	01744611-v
v:creation	01753788-v
v:emotion	01767163-v
v:emotion	01767949-v
v:emotion	01771535-v
v:emotion	01773535-v
v:emotion	01773734-v
v:emotion	01775164-v
v:emotion	01776065-v
v:emotion	01776727-v
v:emotion	01776952-v
v:emotion	01777210-v
v:emotion	01780202-v
v:emotion	01780434-v
v:emotion	01787822-v
v:emotion	01796033-v
v:emotion	01796800-v
v:emotion	01802494-v
v:emotion	01807882-v
v:emotion	01810933-v
v:emotion	01813499-v
v:emotion	01814815-v
v:emotion	01816431-v
v:emotion	01817130-v
v:emotion	01818116-v
v:emotion	01819147-v
v:emotion	01820302-v
v:emotion	01821884-v
v:emotion	01823149-v
v:emotion	01825125-v
v:emotion	01825237-v
v:motion	01831531-v
v:motion	01834485-v
v:motion	01835103-v
v:motion	01835496-v
v:motion	01843055-v
v:motion	01844048-v
v:motion	01848058-v
v:motion	01848355-v
v:motion	01850315-v
v:motion	01854679-v
v:motion	01855606-v
v:motion	01857717-v
v:motion	01859221-v
v:motion	01860795-v
v:motion	01864230-v
v:motion	01868899-v
v:motion	01880673-v
v:motion	01899017-v
v:motion	01900760-v
n:animal	01905661-n
n:animal	01907149-n
n:animal	01908958-n
v:motion	01944252-v
v:motion	01965156-v
v:motion	01981279-v
v:motion	01983597-v
v:motion	01989562-v
v:motion	01997512-v
v:motion	01999798-v
v:motion	02005948-v
v:motion	02009200-v
v:motion	02009433-v
v:motion	02016523-v
v:motion	02020590-v
v:motion	02023107-v
v:motion	02031158-v
v:motion	02035315-v
v:motion	02052476-v
v:motion	02067689-v
n:animal	02075612-n
v:motion	02078591-v
v:motion	02081578-v
v:motion	02086805-v
v:motion	02087472-v
v:motion	02098964-v
v:motion	02105657-v
v:perception	02105810-v
v:perception	02106506-v
v:perception	02108654-v
v:perception	02108791-v
v:perception	02115778-v
v:perception	02118476-v
v:perception	02118933-v
v:perception	02119241-v
v:perception	02121423-v
v:perception	02123903-v
v:perception	02124632-v
v:perception	02125460-v
v:perception	02127853-v
v:perception	02128066-v
v:perception	02128653-v
v:perception	02130017-v
v:perception	02130524-v
v:perception	02131279-v
v:perception	02131963-v
v:perception	02135048-v
v:perception	02136271-v
v:perception	02137132-v
v:perception	02144835-v
v:perception	02145814-v
v:perception	02146790-v
v:perception	02150510-v
n:animal	02152740-n
n:animal	02152881-n
n:animal	02152991-n
v:perception	02151966-v
n:animal	02157206-n
n:animal	02157285-n
v:perception	02157100-v
v:perception	02158034-v
v:perception	02166761-v
v:perception	02168555-v
v:perception	02179518-v
v:perception	02190077-v
v:perception	02191766-v
v:perception	02193194-v
v:perception	02194286-v
v:perception	02197091-v
v:perception	02197505-v
v:perception	02198602-v
v:possession	02200686-v
v:possession	02201138-v
v:possession	02203362-v
v:possession	02204692-v
v:possession	02205098-v
v:possession	02205272-v
v:possession	02206619-v
v:possession	02209936-v
v:possession	02210855-v
v:possession	02220461-v
v:possession	02224055-v
v:possession	02227741-v
v:possession	02237338-v
v:possession	02247390-v
v:possession	02248465-v
v:possession	02252755-v
v:possession	02254155-v
v:possession	02260362-v
v:possession	02265231-v
v:possession	02265979-v
v:possession	02266920-v
v:possession	02280018-v
v:possession	02287618-v
v:possession	02287789-v
v:possession	02288155-v
v:possession	02288828-v
v:possession	02289134-v
v:possession	02298632-v
n:animal	02311060-n
n:animal	02312744-n
v:possession	02315938-v
v:possession	02316868-v
v:possession	02317094-v
v:possession	02318403-v
v:possession	02350175-v
v:possession	02358034-v
v:possession	02358655-v
v:possession	02358922-v
v:possession	02363742-v
v:social	02367363-v
v:social	02371352-v
v:social	02378330-v
v:social	02379528-v
n:animal	02384858-n
v:social	02384041-v
v:social	02386266-v
v:social	02404224-v
v:social	02404904-v
v:social	02406585-v
v:social	02407766-v
v:social	02409412-v
v:social	02410855-v
v:social	02412089-v
v:social	02413480-v
v:social	02417504-v
v:social	02418421-v
v:social	02419073-v
v:social	02421374-v
v:social	02422026-v
v:social	02423183-v
v:social	02423650-v
v:social	02423762-v
v:social	02424652-v
v:social	02426171-v
v:social	02426395-v
v:social	02427334-v
v:social	02431320-v
v:social	02434859-v
v:social	02434976-v
v:social	02436140-v
v:social	02441022-v
v:social	02445100-v
v:social	02445925-v
n:animal	02451575-n
v:social	02450505-v
v:social	02452885-v
v:social	02463510-v
n:animal	02472987-n
v:social	02473890-v
v:social	02475922-v
v:social	02477755-v
v:social	02481900-v
v:social	02486932-v
v:social	02488168-v
v:social	02495038-v
v:social	02497992-v
v:social	02499629-v
v:social	02500397-v
v:social	02500489-v
v:social	02502916-v
v:social	02511276-v
v:social	02522319-v
v:social	02523221-v
v:social	02523521-v
v:social	02524171-v
v:social	02528380-v
v:social	02529284-v
v:social	02532886-v
v:social	02534062-v
v:social	02534936-v
v:social	02535360-v
v:social	02539788-v
v:social	02547225-v
v:social	02551602-v
v:social	02551832-v
v:social	02556126-v
v:social	02560585-v
v:social	02561332-v
v:social	02564146-v
v:social	02566092-v
v:social	02568672-v
v:social	02578510-v
v:social	02578872-v
v:social	02581477-v
v:social	02581675-v
v:social	02590253-v
v:social	02594469-v
v:social	02595840-v
v:social	02596113-v
v:social	02596275-v
v:social	02596371-v
v:social	02597095-v
v:social	02597762-v
v:social	02598143-v
v:social	02598765-v
v:social	02599528-v
v:social	02600779-v
v:stative	02603699-v
v:stative	02604760-v
v:stative	02608347-v
v:stative	02609764-v
v:stative	02614181-v
v:stative	02614387-v
v:stative	02614970-v
v:stative	02616386-v
v:stative	02616713-v
v:stative	02617798-v
v:stative	02618149-v
v:stative	02619122-v
v:stative	02619739-v
v:stative	02620587-v
v:stative	02621853-v
v:stative	02622234-v
v:stative	02623529-v
v:stative	02627666-v
v:stative	02627934-v
v:stative	02629256-v
v:stative	02630189-v
v:stative	02632353-v
v:stative	02632838-v
v:stative	02632940-v
v:stative	02637938-v
v:stative	02640440-v
v:stative	02644234-v
v:stative	02653862-v
v:stative	02655135-v
v:stative	02658283-v
v:stative	02662979-v
v:stative	02663848-v
v:stative	02664017-v
v:stative	02664769-v
v:stative	02664992-v
v:stative	02666239-v
v:stative	02668523-v
v:stative	02669477-v
v:stative	02671761-v
v:stative	02673630-v
v:stative	02673965-v
v:stative	02676054-v
v:stative	02678438-v
v:stative	02679227-v
v:stative	02680814-v
v:stative	02681639-v
v:stative	02681795-v
v:stative	02687251-v
v:stative	02687385-v
n:artifact	02701393-n
v:stative	02700666-v
v:stative	02700772-v
v:stative	02703289-v
n:artifact	02707036-n
v:stative	02705832-v
v:stative	02707429-v
v:stative	02708420-v
v:stative	02709906-v
v:stative	02710402-v
v:stative	02711987-v
v:stative	02712443-v
v:stative	02712772-v
v:stative	02713372-v
v:stative	02714057-v
v:stative	02714731-v
v:stative	02716165-v
v:stative	02719016-v
v:stative	02719930-v
v:stative	02720697-v
n:artifact	02724026-n
v:stative	02722449-v
v:stative	02725714-v
v:stative	02731024-v
v:stative	02732798-v
v:stative	02733806-v
v:stative	02734653-v
v:stative	02736259-v
v:stative	02737187-v
v:stative	02740745-v
v:stative	02740859-v
v:stative	02741003-v
v:stative	02741149-v
v:stative	02741682-v
v:stative	02741793-v
n:artifact	02745091-n
v:stative	02742232-v
v:stative	02742482-v
v:stative	02743921-v
v:stative	02744451-v
v:stative	02744651-v
v:stative	02745486-v
n:artifact	02749953-n
v:stative	02749904-v
v:weather	02756821-v
v:weather	02758826-v
v:weather	02761897-v
v:weather	02762468-v
v:weather	02763283-v
v:weather	02763740-v
v:weather	02765464-v
v:weather	02767308-v
v:weather	02769241-v
v:weather	02770170-v
v:weather	02770535-v
v:weather	02771169-v
n:artifact	02852523-n
n:artifact	02894024-n
n:artifact	02928841-n
n:artifact	03009633-n
n:artifact	03076708-n
n:artifact	03089348-n
n:artifact	03122748-n
n:artifact	03129123-n
n:artifact	03149951-n
n:artifact	03168364-n
n:artifact	03169390-n
n:artifact	03233423-n
n:artifact	03280064-n
n:artifact	03302121-n
n:artifact	03307981-n
n:artifact	03309808-n
n:artifact	03315023-n
n:artifact	03338648-n
n:artifact	03354613-n
n:artifact	03364340-n
n:artifact	03532080-n
n:artifact	03573282-n
n:artifact	03575240-n
n:artifact	03588414-n
n:artifact	03595179-n
n:artifact	03610270-n
n:artifact	03623448-n
n:artifact	03650173-n
n:artifact	03655838-n
n:artifact	03670849-n
n:artifact	03714721-n
n:artifact	03721797-n
n:artifact	03803911-n
n:artifact	03832799-n
n:artifact	03848729-n
n:artifact	03873064-n
n:artifact	03892891-n
n:artifact	03964744-n
n:artifact	04012260-n
n:artifact	04058921-n
n:artifact	04083468-n
n:artifact	04188643-n
n:artifact	04248010-n
n:artifact	04274530-n
n:artifact	04291511-n
n:artifact	04292733-n
n:artifact	04339291-n
n:artifact	04341686-n
n:artifact	04345288-n
n:artifact	04347225-n
n:artifact	04353803-n
n:artifact	04362025-n
n:artifact	04424218-n
n:artifact	04424418-n
n:artifact	04463983-n
n:artifact	04486445-n
n:artifact	04550840-n
n:artifact	04564698-n
n:artifact	04571088-n
n:attribute	04615866-n
n:attribute	04616059-n
n:attribute	04616916-n
n:attribute	04617289-n
n:attribute	04617441-n
n:attribute	04617562-n
n:attribute	04630689-n
n:attribute	04631298-n
n:attribute	04691992-n
n:attribute	04723286-n
n:attribute	04723436-n
n:attribute	04723816-n
n:attribute	04916342-n
n:attribute	04921011-n
n:attribute	05074774-n
n:attribute	05091770-n
n:attribute	05134353-n
n:body	05216365-n
n:body	05217859-n
n:body	05229622-n
n:body	05242752-n
n:body	05263850-n
n:body	05268383-n
n:body	05430628-n
n:body	05431402-n
n:body	05431926-n
n:body	05432623-n
n:body	05432736-n
n:body	05447757-n
n:body	05449538-n
n:body	05456732-n
n:body	05458412-n
n:body	05458703-n
n:body	05459457-n
n:body	05459590-n
n:cognition	05611302-n
n:cognition	05611822-n
n:cognition	05612067-n
n:cognition	05612358-n
n:cognition	05616246-n
n:cognition	05640433-n
n:cognition	05644922-n
n:cognition	05651068-n
n:cognition	05651242-n
n:cognition	05667196-n
n:cognition	05686481-n
n:cognition	05695554-n
n:cognition	05701363-n
n:cognition	05701738-n
n:cognition	05710020-n
n:cognition	05726345-n
n:cognition	05809192-n
n:cognition	05810143-n
n:cognition	05816287-n
n:cognition	05855517-n
n:cognition	06156752-n
n:cognition	06193203-n
n:cognition	06246361-n
n:communication	06252138-n
n:communication	06253690-n
n:communication	06282383-n
n:communication	06282651-n
n:communication	06349220-n
n:communication	06598915-n
n:communication	06600421-n
n:communication	06791372-n
n:communication	06793231-n
n:communication	06797169-n
n:communication	06873252-n
n:communication	06887726-n
n:communication	07066659-n
n:communication	07082025-n
n:communication	07109019-n
n:communication	07110615-n
n:communication	07160883-n
n:communication	07255791-n
n:communication	07277697-n
n:event	07283364-n
n:event	07283473-n
n:event	07283608-n
n:event	07288639-n
n:event	07288801-n
n:event	07312829-n
n:event	07322769-n
n:event	07478531-n
n:event	07479628-n
n:feeling	07479926-n
n:feeling	07480068-n
n:feeling	07480356-n
n:feeling	07480521-n
n:feeling	07480666-n
n:feeling	07480790-n
n:feeling	07480896-n
n:feeling	07481951-n
n:feeling	07482521-n
n:feeling	07483305-n
n:feeling	07483622-n
n:feeling	07484265-n
n:feeling	07487695-n
n:feeling	07490713-n
n:feeling	07494363-n
n:feeling	07494972-n
n:feeling	07497473-n
n:feeling	07501545-n
n:feeling	07504343-n
n:feeling	07504711-n
n:feeling	07505538-n
n:feeling	07506569-n
n:feeling	07508486-n
n:feeling	07509131-n
n:feeling	07509572-n
n:feeling	07509827-n
n:feeling	07510923-n
n:feeling	07511906-n
n:feeling	07512147-n
n:feeling	07512465-n
n:feeling	07513508-n
n:feeling	07514968-n
n:feeling	07526182-n
n:feeling	07526757-n
n:feeling	07532440-n
n:feeling	07541053-n
n:feeling	07541923-n
n:feeling	07544647-n
n:feeling	07551052-n
n:feeling	07553301-n
n:feeling	07555014-n
n:food	07556406-n
n:food	07556637-n
n:food	07560652-n
n:food	07566340-n
n:food	07570720-n
n:food	07572353-n
n:food	07800091-n
n:food	07851054-n
n:food	07860629-n
n:food	07881800-n
n:food	07935504-n
